rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
223,frame_0106.jpg,42.4,0.4195,0.623,0.3333,0.04,9,3,False,False
224,frame_0199.jpg,79.6,0.4181,0.5108,0.2222,0.48,5,2,False,False
225,frame_0086.jpg,34.4,0.4137,0.5527,0.1111,0.52,6,1,False,False
226,frame_0114.jpg,45.6,0.4129,0.6472,0.1111,0.28,5,1,False,False
227,frame_0385.jpg,154.0,0.4102,0.5404,0.3333,0.2,9,3,False,False
228,frame_0097.jpg,38.8,0.4082,0.5845,0.3333,0.08,10,3,False,False
229,frame_0104.jpg,41.6,0.4071,0.4328,0.5556,0.12,9,5,False,False
230,frame_0280.jpg,112.0,0.4071,0.5208,0.2222,0.4,7,2,False,False
231,frame_0218.jpg,87.2,0.4067,0.4695,0.3333,0.36,5,3,False,False
232,frame_0281.jpg,112.4,0.3986,0.4878,0.2222,0.44,6,2,False,False
233,frame_0269.jpg,107.6,0.3972,0.6451,0.2222,0.04,7,2,False,False
234,frame_0302.jpg,120.8,0.3971,0.5008,0.2222,0.4,10,2,False,False
235,frame_0198.jpg,79.2,0.3936,0.4779,0.2222,0.44,6,2,False,False
236,frame_0111.jpg,44.4,0.3915,0.5191,0.3333,0.16,7,3,False,False
237,frame_0121.jpg,48.4,0.3912,0.4918,0.1111,0.56,7,1,False,False
238,frame_0294.jpg,117.6,0.3863,0.418,0.1111,0.72,7,1,False,False
239,frame_0382.jpg,152.8,0.3849,0.5378,0.3333,0.08,6,3,False,False
240,frame_0213.jpg,85.2,0.3837,0.4768,0.1111,0.56,6,1,False,False
241,frame_0209.jpg,83.6,0.3733,0.3252,0.2222,0.72,8,2,False,False
242,frame_0191.jpg,76.4,0.3708,0.4776,0.3333,0.16,5,3,False,False
243,frame_0310.jpg,124.0,0.3605,0.5557,0.2222,0.08,5,2,False,False
244,frame_0098.jpg,39.2,0.3574,0.4988,0.3333,0.04,5,3,False,False
245,frame_0277.jpg,110.8,0.3525,0.3931,0.3333,0.28,7,3,False,False
246,frame_0313.jpg,125.2,0.3421,0.4683,0.3333,0.04,10,3,False,False
247,frame_0101.jpg,40.4,0.3395,0.447,0.3333,0.08,8,3,False,False
248,frame_0210.jpg,84.0,0.3384,0.3382,0.1111,0.68,8,1,False,False
249,frame_0279.jpg,111.6,0.3378,0.3983,0.2222,0.36,5,2,False,False
250,frame_0190.jpg,76.0,0.3253,0.4027,0.3333,0.12,6,3,False,False
251,frame_0226.jpg,90.4,0.3218,0.4277,0.3333,0.04,9,3,False,False
252,frame_0196.jpg,78.4,0.2746,0.3386,0.1111,0.36,5,1,False,False
253,frame_0192.jpg,76.8,0.2622,0.311,0.2222,0.2,6,2,False,False
254,frame_0383.jpg,153.2,0.1976,0.2806,0.1111,0.12,7,1,False,False
255,frame_0272.jpg,108.8,0.1871,0.2756,0.1111,0.08,9,1,False,False
256,frame_0311.jpg,124.4,0.175,0.2673,0.1111,0.04,5,1,False,False
